,Predicted Label
0,0
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,0
10,2
11,0
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,0
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,0
33,2
34,2
35,2
36,2
37,2
38,0
39,0
40,2
41,2
42,2
43,2
44,2
45,0
46,0
47,2
48,2
49,2
50,0
51,2
52,2
53,2
54,2
55,0
56,0
57,2
58,2
59,0
60,2
61,2
62,2
63,2
64,0
65,2
66,2
67,2
68,0
69,2
70,2
71,0
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,0
82,2
83,0
84,0
85,0
86,0
87,2
88,0
89,0
90,2
91,2
92,2
93,0
94,0
95,0
96,0
97,0
98,0
99,2
100,2
101,2
102,2
103,0
104,2
105,2
106,2
107,2
108,0
109,0
110,2
111,0
112,2
113,0
114,0
115,0
116,0
117,0
118,2
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,2
144,0
145,0
146,0
147,2
148,0
149,2
150,2
151,0
152,0
153,0
154,2
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,2
164,2
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,2
175,0
176,2
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,2
186,2
187,0
188,2
189,2
190,2
191,2
192,0
193,2
194,0
195,0
196,0
197,0
198,0
199,0
200,2
201,2
202,0
203,0
204,2
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,2
213,0
214,2
215,2
216,0
217,2
218,0
219,1
220,0
221,0
222,2
223,0
224,2
225,0
226,0
227,0
228,0
229,0
230,0
231,2
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,2
241,0
242,2
243,0
244,2
245,0
246,0
247,2
248,0
249,2
250,0
251,2
252,0
253,2
254,2
255,2
256,0
257,0
258,0
259,0
260,0
261,2
262,0
263,0
264,2
265,2
266,0
267,0
268,0
269,0
270,0
271,0
272,2
273,0
274,0
275,2
276,0
277,0
278,0
279,0
280,2
281,2
282,2
283,2
284,0
285,2
286,0
287,0
288,0
289,0
290,2
291,2
292,2
293,2
294,2
295,0
296,0
297,0
298,2
299,2
300,2
301,0
302,0
303,2
304,2
305,0
306,2
307,0
308,2
309,2
310,0
311,2
312,2
313,2
314,2
315,2
316,2
317,0
318,0
319,0
320,0
321,0
322,2
323,2
324,0
325,2
326,2
327,2
328,2
329,2
330,2
331,0
332,0
333,0
334,0
335,0
336,2
337,2
338,0
339,0
340,0
341,0
342,2
343,2
344,2
345,2
346,2
347,2
348,0
349,0
350,2
351,2
352,2
353,0
354,0
355,2
356,2
357,0
358,0
359,0
360,0
361,0
362,2
363,0
364,0
365,0
366,2
367,1
368,0
369,0
370,2
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,2
380,2
381,0
382,2
383,0
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,0
393,2
394,2
395,0
396,2
397,2
398,0
399,0
400,2
401,0
402,2
403,0
404,2
405,2
406,2
407,2
408,0
409,0
410,0
411,2
412,2
413,0
414,2
415,0
416,2
417,0
418,2
419,0
420,0
421,2
422,0
423,0
424,0
425,2
426,0
427,2
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,2
446,0
447,2
448,2
449,2
450,2
451,2
452,2
453,0
454,0
455,0
456,0
457,2
458,0
459,0
460,0
461,0
462,2
463,0
464,0
465,0
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,2
487,0
488,0
489,2
490,2
491,0
492,2
493,0
494,0
495,0
496,0
497,2
498,0
499,0
500,2
501,0
502,2
503,0
504,0
505,2
506,2
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,2
516,2
517,0
518,0
519,0
520,2
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,2
532,0
533,0
534,0
535,2
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,2
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,2
561,0
562,0
563,0
564,0
565,2
566,0
567,0
568,2
569,0
570,2
571,0
572,0
573,2
574,2
575,2
576,2
577,2
578,0
579,0
580,0
581,0
582,2
583,0
584,0
585,2
586,0
587,0
588,0
589,0
590,2
591,2
592,0
593,0
594,2
595,0
596,0
597,0
598,0
599,0
600,0
601,2
602,0
603,0
604,0
605,0
606,0
607,2
608,2
609,2
610,2
611,2
612,1
613,0
614,2
615,2
616,0
617,0
618,0
619,0
620,0
621,0
622,2
623,2
624,0
625,2
626,0
627,0
628,0
629,2
630,0
631,0
632,0
633,0
634,0
635,0
636,2
637,2
638,2
639,0
640,0
641,0
642,2
643,0
644,0
645,2
646,2
647,2
648,2
649,0
650,0
651,0
652,0
653,2
654,0
655,0
656,0
657,0
658,0
659,2
660,2
661,2
662,2
663,2
664,2
665,0
666,2
667,2
668,0
669,0
670,0
671,0
672,0
673,0
674,2
675,0
676,0
677,2
678,0
679,0
680,0
681,2
682,0
683,0
684,0
685,2
686,2
687,0
688,2
689,2
690,2
691,2
692,0
693,2
694,2
695,0
696,2
697,2
698,2
699,2
700,0
701,2
702,2
703,0
704,0
705,2
706,2
707,2
708,2
709,2
710,2
711,0
712,2
713,2
714,2
715,2
716,2
717,0
718,2
719,2
720,2
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,2
729,0
730,0
731,2
732,0
733,2
734,2
735,2
736,2
737,2
738,0
739,2
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,2
749,2
750,2
751,2
752,0
753,2
754,0
755,0
756,0
757,0
758,2
759,2
760,0
761,2
762,0
763,2
764,0
765,0
766,2
767,0
768,2
769,2
770,2
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,1
789,0
790,2
791,2
792,2
793,0
794,0
795,0
796,0
797,2
798,2
799,0
800,2
801,2
802,2
803,2
804,0
805,2
806,2
807,2
808,2
809,2
810,2
811,2
812,0
813,0
814,2
815,2
816,0
817,2
818,0
819,0
820,0
821,0
822,2
823,2
824,0
825,2
826,2
827,2
828,0
829,2
830,0
831,0
832,2
833,0
834,0
835,0
836,2
837,2
838,2
839,0
840,2
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,2
849,2
850,2
851,2
852,2
853,2
854,0
855,0
856,0
857,0
858,0
859,0
860,2
861,0
862,2
863,0
864,2
865,0
866,0
867,0
868,0
869,2
870,2
871,0
872,2
873,0
874,0
875,2
876,2
877,2
878,2
879,0
880,2
881,0
882,0
883,0
884,2
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,2
912,2
913,0
914,0
915,2
916,2
917,2
918,2
919,0
920,2
921,0
922,2
923,2
924,0
925,2
926,2
927,2
928,0
929,2
930,2
931,2
932,2
933,0
934,2
935,2
936,2
937,2
938,2
939,2
940,2
941,2
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,0
956,2
957,2
958,2
959,2
960,2
961,2
962,2
963,2
964,0
965,0
966,0
967,0
968,0
969,2
970,2
971,0
972,2
973,0
974,0
975,0
976,0
977,2
978,0
979,0
980,0
981,0
982,2
983,2
984,0
985,0
986,0
987,2
988,0
989,0
990,2
991,2
992,0
993,0
994,2
995,2
996,0
997,2
998,0
999,0
1000,0
1001,2
1002,0
1003,0
1004,2
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,2
1015,2
1016,2
1017,2
1018,0
1019,0
1020,0
1021,0
1022,0
1023,2
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,2
1032,1
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,2
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,2
1049,2
1050,0
1051,0
1052,0
1053,0
1054,0
1055,2
1056,0
1057,0
1058,1
1059,0
1060,0
1061,2
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,2
1075,2
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,2
1113,0
1114,0
1115,2
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,2
1135,0
1136,0
1137,0
1138,0
1139,2
1140,0
1141,2
1142,0
1143,0
1144,0
1145,2
1146,0
1147,2
1148,2
1149,2
1150,0
1151,0
1152,0
1153,0
1154,0
1155,2
1156,2
1157,2
1158,2
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,2
1168,2
1169,2
1170,2
1171,2
1172,2
1173,0
1174,2
1175,0
1176,2
1177,0
1178,0
1179,2
1180,0
1181,2
1182,2
1183,2
1184,0
1185,2
1186,0
1187,2
1188,0
1189,2
1190,2
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
